taxonomy,year,level,code,value
ssyk2012,2023,4,3452,529
ssyk2012,2023,4,3511,11844
ssyk2012,2023,4,3512,19729
ssyk2012,2023,4,3513,4445
ssyk2012,2023,4,3514,10973
ssyk2012,2023,4,3515,2387
ssyk2012,2023,4,3521,2092
ssyk2012,2023,4,3522,3274
ssyk2012,2023,4,4111,40256
ssyk2012,2023,4,4112,16201
ssyk2012,2023,4,4113,2758
ssyk2012,2023,4,4114,11892
ssyk2012,2023,4,4115,7604
ssyk2012,2023,4,4116,5826
ssyk2012,2023,4,4117,19943
ssyk2012,2023,4,4119,73866
ssyk2012,2023,4,4211,1025
ssyk2012,2023,4,4212,853
ssyk2012,2023,4,4221,5569
ssyk2012,2023,4,4222,37784
ssyk2012,2023,4,4223,3074
ssyk2012,2023,4,4224,11571
ssyk2012,2023,4,4225,14550
ssyk2012,2023,4,4226,989
ssyk2012,2023,4,4321,7107
ssyk2012,2023,4,4322,107252
ssyk2012,2023,4,4323,10563
ssyk2012,2023,4,4410,3295
ssyk2012,2023,4,4420,13504
ssyk2012,2023,4,4430,5792
ssyk2012,2023,4,5111,1486
ssyk2012,2023,4,5112,4892
ssyk2012,2023,4,5113,2000
ssyk2012,2023,4,5120,46942
ssyk2012,2023,4,5131,30999
ssyk2012,2023,4,5132,8244
ssyk2012,2023,4,5141,9026
ssyk2012,2023,4,5142,1247
ssyk2012,2023,4,5143,1366
ssyk2012,2023,4,5144,545
ssyk2012,2023,4,5149,2583
ssyk2012,2023,4,5151,3843
ssyk2012,2023,4,5152,45953
ssyk2012,2023,4,5161,1522
ssyk2012,2023,4,5169,3575
ssyk2012,2023,4,5221,15983
ssyk2012,2023,4,5222,102490
ssyk2012,2023,4,5223,119574
ssyk2012,2023,4,5224,1658
ssyk2012,2023,4,5225,6830
ssyk2012,2023,4,5226,2679
ssyk2012,2023,4,5227,2986
ssyk2012,2023,4,5230,14613
ssyk2012,2023,4,5241,2225
ssyk2012,2023,4,5242,6282
ssyk2012,2023,4,5311,93275
ssyk2012,2023,4,5312,42294
ssyk2012,2023,4,5321,127996
ssyk2012,2023,4,5322,323
ssyk2012,2023,4,5323,37000
ssyk2012,2023,4,5324,9551
ssyk2012,2023,4,5325,965
ssyk2012,2023,4,5326,1053
ssyk2012,2023,4,5330,95065
ssyk2012,2023,4,5341,17124
ssyk2012,2023,4,5342,82537
ssyk2012,2023,4,5343,68938
ssyk2012,2023,4,5349,23721
ssyk2012,2023,4,5350,11756
ssyk2012,2023,4,5411,5908
ssyk2012,2023,4,5412,11905
ssyk2012,2023,4,5413,20401
ssyk2012,2023,4,5414,1859
ssyk2012,2023,4,5419,4701
ssyk2012,2023,4,6111,2202
ssyk2012,2023,4,6112,3797
ssyk2012,2023,4,6113,17826
ssyk2012,2023,4,6121,11410
ssyk2012,2023,4,6122,1844
ssyk2012,2023,4,6129,1096
ssyk2012,2023,4,6130,4979
ssyk2012,2023,4,6210,3412
ssyk2012,2023,4,6221,211
ssyk2012,2023,4,6222,467
ssyk2012,2023,4,7111,56567
ssyk2012,2023,4,7112,9775
ssyk2012,2023,4,7113,10730
ssyk2012,2023,4,7114,21099
ssyk2012,2023,4,7115,260
ssyk2012,2023,4,7116,3914
ssyk2012,2023,4,7119,21283
ssyk2012,2023,4,7121,4400
ssyk2012,2023,4,7122,4174
ssyk2012,2023,4,7123,2620
ssyk2012,2023,4,7124,3038
ssyk2012,2023,4,7125,25624
ssyk2012,2023,4,7126,4869
ssyk2012,2023,4,7131,15989
ssyk2012,2023,4,7132,6131
ssyk2012,2023,4,7133,1026
ssyk2012,2023,4,7134,5817
ssyk2012,2023,4,7211,954
ssyk2012,2023,4,7212,14156
ssyk2012,2023,4,7213,6869
ssyk2012,2023,4,7214,3680
ssyk2012,2023,4,7215,2110
ssyk2012,2023,4,7221,3241
ssyk2012,2023,4,7222,1872
ssyk2012,2023,4,7223,55099
ssyk2012,2023,4,7224,1032
ssyk2012,2023,4,7231,37262
ssyk2012,2023,4,7232,292
ssyk2012,2023,4,7233,29132
ssyk2012,2023,4,7311,3048
ssyk2012,2023,4,7312,345
ssyk2012,2023,4,7319,719
ssyk2012,2023,4,7321,1208
ssyk2012,2023,4,7322,3440
ssyk2012,2023,4,7323,833
ssyk2012,2023,4,7411,41240
ssyk2012,2023,4,7412,7915
ssyk2012,2023,4,7413,2679
ssyk2012,2023,4,7420,8604
ssyk2012,2023,4,7521,107
ssyk2012,2023,4,7522,4337
ssyk2012,2023,4,7523,6377
ssyk2012,2023,4,7531,1006
ssyk2012,2023,4,7532,415
ssyk2012,2023,4,7533,428
ssyk2012,2023,4,7534,355
ssyk2012,2023,4,7611,3282
ssyk2012,2023,4,7612,4856
ssyk2012,2023,4,7613,136
ssyk2012,2023,4,7619,978
ssyk2012,2023,4,8111,1449
ssyk2012,2023,4,8112,2712
ssyk2012,2023,4,8113,609
ssyk2012,2023,4,8114,2247
ssyk2012,2023,4,8115,588
ssyk2012,2023,4,8116,717
ssyk2012,2023,4,8121,2692
ssyk2012,2023,4,8122,4212
ssyk2012,2023,4,8129,11530
ssyk2012,2023,4,8131,4465
ssyk2012,2023,4,8132,1428
ssyk2012,2023,4,8141,1863
ssyk2012,2023,4,8142,9289
ssyk2012,2023,4,8143,3295
ssyk2012,2023,4,8151,3298
ssyk2012,2023,4,8159,2584
ssyk2012,2023,4,8161,4764
ssyk2012,2023,4,8162,1416
ssyk2012,2023,4,8163,4264
ssyk2012,2023,4,8169,6107
ssyk2012,2023,4,8171,2385
ssyk2012,2023,4,8172,5478
ssyk2012,2023,4,8173,7660
ssyk2012,2023,4,8174,615
ssyk2012,2023,4,8181,4628
ssyk2012,2023,4,8189,3557
ssyk2012,2023,4,8191,9536
ssyk2012,2023,4,8192,6977
ssyk2012,2023,4,8193,1907
ssyk2012,2023,4,8199,2907
ssyk2012,2023,4,8211,6975
ssyk2012,2023,4,8212,15195
ssyk2012,2023,4,8213,15484
ssyk2012,2023,4,8214,4648
ssyk2012,2023,4,8219,16151
ssyk2012,2023,4,8311,5278
ssyk2012,2023,4,8312,912
ssyk2012,2023,4,8321,14181
ssyk2012,2023,4,8329,14802
ssyk2012,2023,4,8331,24882
ssyk2012,2023,4,8332,60985
ssyk2012,2023,4,8341,7462
ssyk2012,2023,4,8342,23298
ssyk2012,2023,4,8343,1542
ssyk2012,2023,4,8344,12754
ssyk2012,2023,4,8350,1432
ssyk2012,2023,4,9111,90156
ssyk2012,2023,4,9119,8000
ssyk2012,2023,4,9120,6576
ssyk2012,2023,4,9210,4562
ssyk2012,2023,4,9310,7349
ssyk2012,2023,4,9320,8979
ssyk2012,2023,4,9331,2734
ssyk2012,2023,4,9332,6253
ssyk2012,2023,4,9411,5768
ssyk2012,2023,4,9412,90521
ssyk2012,2023,4,9413,8537
ssyk2012,2023,4,9520,270
ssyk2012,2023,4,9610,10700
ssyk2012,2023,4,9621,6048
ssyk2012,2023,4,9622,5723
ssyk2012,2023,4,9629,29300
